,no_of_items,variation,total,paid,change
742,4,2,1714.0,1714.0,0.0
743,1,1,55.0,200.0,145.0
744,2,1,156.0,200.0,4.0
745,1,1,30.0,100.0,70.0
746,2,3,190.0,500.0,310.0
747,1,1,60.0,110.0,50.0
748,2,1,193.0,200.0,7.0
749,1,1,26.0,50.0,24.0
750,1,1,90.0,500.0,410.0
751,1,1,60.0,100.0,40.0
752,1,1,55.0,60.0,5.0
753,1,1,175.0,1000.0,825.0
754,1,1,75.0,100.0,25.0
755,1,1,49.0,60.0,11.0
756,1,1,50.0,100.0,50.0
757,2,1,230.0,230.0,0.0
758,2,2,1155.0,1205.0,50.0
759,1,1,98.0,98.0,0.0
760,2,1,162.0,1000.0,838.0
761,2,2,122.0,1000.0,878.0
